advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/bmw/225/cfkbpf.html,https://i.ss.lv/gallery/7/1297/324018/64803472.th2.jpg,Bmw225,2016,1.5,H,90000,13600
/msg/lv/transport/cars/mitsubishi/eclipse/cieof.html,https://i.ss.lv/gallery/7/1284/320992/64198218.th2.jpg,MitsubishiEclipse,2018,1.5,,99000,15490
/msg/lv/transport/cars/opel/insignia/cbbmhd.html,https://i.ss.lv/gallery/7/1298/324270/64853955.th2.jpg,OpelInsignia,2009,2.0,D,138000,5990
/msg/lv/transport/cars/audi/a6/bkenln.html,https://i.ss.lv/gallery/7/1307/326635/65326847.th2.jpg,AudiA6,2012,3.0,D,290000,16495
/msg/lv/transport/cars/audi/a8/bcddnj.html,https://i.ss.lv/gallery/7/1298/324391/64878176.th2.jpg,AudiA8,2011,3.0,D,,16900
/msg/lv/transport/cars/volkswagen/polo/bimgdg.html,https://i.ss.lv/gallery/7/1319/329508/65901553.th2.jpg,VolkswagenPolo,2012,1.2,D,466000,2450
/msg/lv/transport/cars/renault/kadjar/bomehm.html,https://i.ss.lv/gallery/7/1299/324678/64935432.th2.jpg,RenaultKadjar,2016,1.6,D,201000,9990
/msg/lv/transport/cars/opel/insignia/bpdjje.html,https://i.ss.lv/gallery/6/1047/261664/52332657.th2.jpg,OpelInsignia,2011,2.0,D,224000,4950
/msg/lv/transport/cars/opel/insignia/cddeec.html,https://i.ss.lv/gallery/7/1247/311700/62340000.th2.jpg,OpelInsignia,2019,2.0,D,183000,15450
/msg/lv/transport/cars/mercedes/sprinter/bhokhg.html,https://i.ss.lv/gallery/7/1319/329508/65901530.th2.jpg,MercedesSprinter,2004,2.2,D,,2000
/msg/lv/transport/cars/mazda/mazda6/gnmxd.html,https://i.ss.lv/gallery/7/1288/321782/64356394.th2.jpg,MazdaMazda6,2015,2.2,D,200000,8955
/msg/lv/transport/cars/renault/megane/okgkj.html,https://i.ss.lv/gallery/7/1301/325216/65043052.th2.jpg,RenaultMegane,2006,1.6,,290000,1100
/msg/lv/transport/cars/volvo/xc60/cdlhxn.html,https://i.ss.lv/gallery/7/1319/329508/65901436.th2.jpg,VolvoXC 60,2009,2.4,D,312000,5900
/msg/lv/transport/cars/subaru/impreza/eghxk.html,https://i.ss.lv/gallery/7/1302/325329/65065738.th2.jpg,SubaruImpreza,2022,2.0,,,21499
/msg/lv/transport/cars/renault/clio/lmdjl.html,https://i.ss.lv/gallery/7/1313/328192/65638365.th2.jpg,RenaultClio,2015,1.5,D,261000,4650
/msg/lv/transport/cars/opel/zafira/accko.html,https://i.ss.lv/gallery/7/1299/324628/64925502.th2.jpg,OpelZafira,2016,1.4,,,9150
/msg/lv/transport/cars/peugeot/5008/ccikkn.html,https://i.ss.lv/gallery/7/1298/324390/64877828.th2.jpg,Peugeot5008,2010,1.6,D,,5749
/msg/lv/transport/cars/mitsubishi/outlander/micod.html,https://i.ss.lv/gallery/7/1308/326932/65386246.th2.jpg,MitsubishiOutlander,2013,2.0,,103000,9390
/msg/lv/transport/cars/opel/corsa/bcncc.html,https://i.ss.lv/gallery/7/1319/329508/65901446.th2.jpg,OpelCorsa,2011,1.3,D,175000,3950
/msg/lv/transport/cars/volvo/v90/cbjdpo.html,https://i.ss.lv/gallery/7/1319/329507/65901398.th2.jpg,VolvoV90,2018,2.0,D,187000,19500
/msg/lv/transport/cars/mercedes/c200/cflfxj.html,https://i.ss.lv/gallery/7/1305/326067/65213283.th2.jpg,MercedesC200,2004,1.8,,222000,1300
/msg/lv/transport/cars/opel/omega/aodfe.html,https://i.ss.lv/gallery/7/1317/329158/65831536.th2.jpg,OpelOmega,2003,2.5,D,296000,680
/msg/lv/transport/cars/opel/insignia/ccnbdp.html,https://i.ss.lv/gallery/7/1297/324226/64845086.th2.jpg,OpelInsignia,2019,1.6,D,156000,11655
/msg/lv/transport/cars/bmw/x5/bnijn.html,https://i.ss.lv/gallery/7/1293/323084/64616690.th2.jpg,BmwX5,2015,3.0,D,,33450
/msg/lv/transport/cars/volkswagen/sharan/boekx.html,https://i.ss.lv/gallery/7/1296/323784/64756717.th2.jpg,VolkswagenSharan,2010,2.0,D,,7850
/msg/lv/transport/cars/ford/tourneo/pxdhh.html,https://i.ss.lv/gallery/7/1319/329507/65901379.th2.jpg,FordTourneo,2016,1.5,D,230000,9650
/msg/lv/transport/cars/volvo/xc90/cfmocd.html,https://i.ss.lv/gallery/7/1319/329507/65901363.th2.jpg,VolvoXC 90,2004,2.4,D,406000,2000
/msg/lv/transport/cars/peugeot/3008/ceokfm.html,https://i.ss.lv/gallery/7/1259/314560/62911996.th2.jpg,Peugeot3008,2012,1.6,D,245000,4290
/msg/lv/transport/cars/bmw/320/cdlfpj.html,https://i.ss.lv/gallery/7/1319/329506/65901166.th2.jpg,Bmw320,2003,2.0,D,,1700
/msg/lv/transport/cars/volvo/xc60/cemcne.html,https://i.ss.lv/gallery/7/1295/323531/64706159.th2.jpg,VolvoXC 60,2011,2.4,D,,9399
